project_code,yard_name,packing_count,source
2408003,G03,5,jeil_actual
2408003,G08,6,jeil_actual
2408003,C06,25,jeil_actual
2408003,G04,2,jeil_actual
2408003,G01,1,jeil_actual
2408003,C04,1,jeil_actual
2408005,G05,1,jeil_actual
2408005,D01,21,jeil_actual
2408005,C07,20,jeil_actual
2408005,D02,1,jeil_actual
2408005,B02,31,jeil_actual
2408005,G08,3,jeil_actual
2408005,B04,6,jeil_actual
2410049,A01,1,jeil_actual
2410049,A08,1,jeil_actual
2410049,H04,1,jeil_actual
2410049,E03,1,jeil_actual
2410054,G03,1,jeil_actual
2410054,G02,5,jeil_actual
2410054,D01,38,jeil_actual
2410054,D04,17,jeil_actual
2410054,D05,21,jeil_actual
2410054,D03,17,jeil_actual
2410054,G06,3,jeil_actual
2410054,A01,1,jeil_actual
2410054,A04,7,jeil_actual
2410054,A07,14,jeil_actual
2410054,C01,17,jeil_actual
2410054,B06,43,jeil_actual
2410054,B05,24,jeil_actual
2411039,G07,3,jeil_actual
2411039,D09,9,jeil_actual
2411039,G05,1,jeil_actual
2411040,G02,1,jeil_actual
2411040,H17,1,jeil_actual
2411040,H01,1,jeil_actual
2411040,H16,1,jeil_actual
2411040,H11,1,jeil_actual
2411040,D10,13,jeil_actual
2411040,D08,2,jeil_actual
2411040,D09,2,jeil_actual
2412044,D02,5,jeil_actual
2412044,D10,4,jeil_actual
2412044,H01,2,jeil_actual
2412044,G07,3,jeil_actual
2412044,G10,1,jeil_actual
2501026,D10,10,jeil_actual
2501026,G05,5,jeil_actual
2501026,D04,4,jeil_actual
2501026,C06,1,jeil_actual
2501026,G04,1,jeil_actual
2501026,A06,6,jeil_actual
2501026,G03,1,jeil_actual
2501026,H15,5,jeil_actual
2501026,G07,3,jeil_actual
2501026,G10,1,jeil_actual
2502023,F02,6,jeil_actual
2502023,F05,15,jeil_actual
2502023,F06,10,jeil_actual
2502023,A07,48,jeil_actual
2502023,B10,21,jeil_actual
2502023,D09,36,jeil_actual
2502023,B09,22,jeil_actual
2502023,G08,7,jeil_actual
2502023,B03,38,jeil_actual
2502023,H01,1,jeil_actual
2502044,G09,4,jeil_actual
2502044,D09,13,jeil_actual
2502044,E01,11,jeil_actual
2502044,C03,19,jeil_actual
2502044,A07,8,jeil_actual
